Date,Cost per Mb,Cost per Genome
2001-09,"$5,292.39 ","$95,263,072 "
2002-03,"$3,898.64 ","$70,175,437 "
2002-09,"$3,413.80 ","$61,448,422 "
2003-03,"$2,986.20 ","$53,751,684 "
2003-10,"$2,230.98 ","$40,157,554 "
2004-01,"$1,598.91 ","$28,780,376 "
2004-04,"$1,135.70 ","$20,442,576 "
2004-07,"$1,107.46 ","$19,934,346 "
2004-10,"$1,028.85 ","$18,519,312 "
2005-01,$974.16 ,"$17,534,970 "
2005-04,$897.76 ,"$16,159,699 "
2005-07,$898.90 ,"$16,180,224 "
2005-10,$766.73 ,"$13,801,124 "
2006-01,$699.20 ,"$12,585,659 "
2006-04,$651.81 ,"$11,732,535 "
2006-07,$636.41 ,"$11,455,315 "
2006-10,$581.92 ,"$10,474,556 "
2007-01,$522.71 ,"$9,408,739 "
2007-04,$502.61 ,"$9,047,003 "
2007-07,$495.96 ,"$8,927,342 "
2007-10,$397.09 ,"$7,147,571 "
2008-01,$102.13 ,"$3,063,820 "
2008-04,$15.03 ,"$1,352,982 "
2008-07,$8.36 ,"$752,080 "
2008-10,$3.81 ,"$342,502 "
2009-01,$2.59 ,"$232,735 "
2009-04,$1.72 ,"$154,714 "
2009-07,$1.20 ,"$108,065 "
2009-10,$0.78 ,"$70,333 "
2010-01,$0.52 ,"$46,774 "
2010-04,$0.35 ,"$31,512 "
2010-07,$0.35 ,"$31,125 "
2010-10,$0.32 ,"$29,092 "
2011-01,$0.23 ,"$20,963 "
2011-04,$0.19 ,"$16,712 "
2011-07,$0.12 ,"$10,497 "
2011-10,$0.09 ,"$7,743 "
2012-01,$0.09 ,"$7,666 "
2012-04,$0.07 ,"$5,901 "
2012-07,$0.07 ,"$5,985 "
2012-10,$0.07 ,"$6,618 "
2013-01,$0.06 ,"$5,671 "
2013-04,$0.06 ,"$5,550 "
2013-07,$0.06 ,"$5,550 "
2013-10,$0.06 ,"$5,096 "
2014-01,$0.04 ,"$4,008 "
2014-04,$0.05 ,"$4,920 "
2014-07,$0.05 ,"$4,905 "
2014-10,$0.06 ,"$5,731 "
2015-01,$0.04 ,"$3,970 "
2015-04,$0.05 ,"$4,211 "
2015-07,$0.02 ,"$1,363 "
2015-10,$0.01 ,"$1,245 "
2016-05,$0.01 ,"$1,176 "
2016-08,$0.02 ,"$1,508 "
2016-11,$0.02 ,"$1,356 "
2017-02,$0.01 ,"$1,015 "
2017-05,$0.02 ,"$1,333 "
2017-08,$0.01 ,"$1,134 "
2017-11,$0.02 ,"$1,844 "
2018-02,$0.01 ,"$1,232 "
2018-05,$0.02 ,"$1,463 "
2018-08,$0.02 ,"$1,467 "
2018-11,$0.02 ,"$1,392 "
2019-02,$0.01 ,$993 
2019-05,$0.01 ,$606 
2019-08,$0.01 ,$942 
2019-11,$0.01 ,$695 
2020-02,$0.01 ,$645 
2020-05,$0.01 ,$702 
2020-08,$0.01 ,$689 
2020-11,$0.01 ,$512 
2021-02,$0.01 ,$851 
2021-05,$0.01 ,$454 
2021-08,$0.01 ,$562 
2021-11,$0.01 ,$552 
2022-02,$0.01 ,$525 
2022-05,$0.01 ,$525 
